FIPS,"Commuting Zone ID, 2000","Commuting Zone ID, 1990","Commuting Zone ID, 1980",County Name,"Metropolitan Area, 2003",County Population 2000,Commuting Zone Population 2000
01001,60,11101,28101,Autauga County,"Montgomery, AL Metropolitan Statistical Area","43,671","448,828"
01003,254,11001,28201,Baldwin County,"Daphne-Fairhope, AL Micropolitan Statistical Area","140,415","558,355"
01005,20,10301,28801,Barbour County,,"29,038","43,350"
01007,21,10801,28401,Bibb County,"Birmingham-Hoover, AL Metropolitan Statistical Area","20,826","981,525"
01009,21,10700,28401,Blount County,"Birmingham-Hoover, AL Metropolitan Statistical Area","51,024","981,525"
01011,20,09800,28102,Bullock County,,"11,714","43,350"
01013,60,11101,28101,Butler County,,"21,399","448,828"
01015,303,09600,29301,Calhoun County,"Anniston-Oxford, AL Metropolitan Statistical Area","112,249","239,330"
01017,409,09600,29601,Chambers County,"Valley, AL Micropolitan Statistical Area","36,583","217,969"
01019,558,06600,29301,Cherokee County,,"23,988","274,130"
01021,21,10700,28401,Chilton County,"Birmingham-Hoover, AL Metropolitan Statistical Area","39,593","981,525"
01023,312,10802,28502,Choctaw County,,"15,922","94,309"
01025,312,11001,28201,Clarke County,,"27,867","94,309"
01027,190,09500,29501,Clay County,,"14,254","148,252"
01029,303,09600,29301,Cleburne County,,"14,123","239,330"
01031,188,10302,28802,Coffee County,"Enterprise-Ozark, AL Micropolitan Statistical Area","43,615","223,605"
01033,140,06200,34701,Colbert County,"Florence, AL Metropolitan Statistical Area","54,984","174,173"
01035,380,11002,28301,Conecuh County,,"14,089","76,853"
01037,190,09500,29501,Coosa County,,"12,202","148,252"
01039,60,11102,28102,Covington County,,"37,631","448,828"
01041,60,11102,28102,Crenshaw County,,"13,665","448,828"
01043,120,10700,35001,Cullman County,"Cullman, AL Micropolitan Statistical Area","77,483","597,066"
01045,188,10302,28802,Dale County,"Enterprise-Ozark, AL Micropolitan Statistical Area","49,129","223,605"
01047,458,10801,28501,Dallas County,"Selma, AL Micropolitan Statistical Area","46,365","58,226"
01049,558,06100,35401,DeKalb County,,"64,452","274,130"
01051,60,11101,28101,Elmore County,"Montgomery, AL Metropolitan Statistical Area","65,874","448,828"
01053,380,11002,28301,Escambia County,,"38,440","76,853"
01055,558,06100,29301,Etowah County,"Gadsden, AL Metropolitan Statistical Area","103,459","274,130"
01057,462,10600,28601,Fayette County,,"18,495","161,169"
01059,140,06200,34701,Franklin County,,"31,223","174,173"
01061,188,10302,28802,Geneva County,"Dothan, AL Metropolitan Statistical Area","25,764","223,605"
01063,216,10802,28502,Greene County,"Tuscaloosa, AL Metropolitan Statistical Area","9,974","212,983"
01065,216,10801,28401,Hale County,"Tuscaloosa, AL Metropolitan Statistical Area","17,185","212,983"
01067,188,10302,28802,Henry County,"Dothan, AL Metropolitan Statistical Area","16,310","223,605"
01069,188,10302,28802,Houston County,"Dothan, AL Metropolitan Statistical Area","88,787","223,605"
01071,106,06100,35401,Jackson County,"Scottsboro, AL Micropolitan Statistical Area","53,926","585,556"
01073,21,10700,28401,Jefferson County,"Birmingham-Hoover, AL Metropolitan Statistical Area","662,047","981,525"
01075,462,10600,28701,Lamar County,,"15,904","161,169"
01077,140,06200,34701,Lauderdale County,"Florence, AL Metropolitan Statistical Area","87,966","174,173"
01079,120,06000,35001,Lawrence County,"Decatur, AL Metropolitan Statistical Area","34,803","597,066"
01081,22,09800,29701,Lee County,"Auburn-Opelika, AL Metropolitan Statistical Area","115,092","442,853"
01083,120,06000,35001,Limestone County,"Huntsville, AL Metropolitan Statistical Area","65,676","597,066"
